datetime,flow,temperature
2017-01-01 00:00:00,1.69,108.98
2017-01-01 01:00:00,1.69,109.52
2017-01-01 02:00:00,1.69,110.08
2017-01-01 03:00:00,1.69,109.63
2017-01-01 04:00:00,2.06,110.77
2017-01-01 05:00:00,2.25,111.44
2017-01-01 06:00:00,2.25,110.73
2017-01-01 07:00:00,2.25,111.94
2017-01-01 08:00:00,2.25,111.90
2017-01-01 09:00:00,2.44,111.25
2017-01-01 10:00:00,2.06,110.98
2017-01-01 11:00:00,1.87,110.67
2017-01-01 12:00:00,1.87,111.06
2017-01-01 13:00:00,1.69,110.42
2017-01-01 14:00:00,1.87,110.26
2017-01-01 15:00:00,1.87,110.66
2017-01-01 16:00:00,1.87,111.58
2017-01-01 17:00:00,2.06,112.07
2017-01-01 18:00:00,1.87,112.15
2017-01-01 19:00:00,2.06,112.22
2017-01-01 20:00:00,1.87,111.29
2017-01-01 21:00:00,2.06,111.39
2017-01-01 22:00:00,1.87,111.31
2017-01-01 23:00:00,2.25,110.97
